ser: S+Er
para: Pa+Ra
não: Na+O
se: Se
seu: S+Eu
este: Es+Te
como: C+O+Mo
ir: Ir
ou: O+U
eu: Eu
sobre: S+O+B+Re
esse: Es+Se
novo: N+O+V+O
ver: V+Er
só: S+O
país: Pa+I+S
pouco: P+O+U+C+O
passar: P+As+S+Ar
vir: V+Ir
ficar: F+I+C+Ar
isso: I+S+S+O
parte: P+Ar+Te
nós: N+O+S
agora: Ag+O+Ra
caso: C+As+O
público: P+U+B+Li+C+O
político: P+O+Li+Ti+C+O
parecer: Pa+Re+C+Er
próprio: Pr+O+Pr+I+O
nosso: N+O+S+S+O
continuar: C+O+N+Ti+N+U+Ar
cerca: C+Er+Ca
final: F+In+Al
obra: O+B+Ra
processo: Pr+O+C+Es+S+O
falar: F+Al+Ar
hora: H+O+Ra
nacional: N+Ac+I+O+N+Al
tão: Ta+O
conhecer: C+O+N+He+C+Er
Público: P+U+B+Li+C+O
nunca: N+U+N+Ca
receber: Re+Ce+B+Er
social: S+O+C+I+Al
noite: N+O+I+Te
único: U+N+I+C+O
principal: Pr+In+C+I+P+Al
prever: P+Re+V+Er
viver: V+I+V+Er
esperar: Es+P+Er+Ar
acontecer: Ac+O+N+Te+C+Er
pois: P+O+I+S
cinco: C+In+C+O
criar: Cr+I+Ar
lá: La
referir: Re+F+Er+Ir
política: P+O+Li+Ti+Ca
proposta: Pr+O+P+O+S+Ta
ganhar: Ga+N+H+Ar
frente: F+Re+N+Te
fora: F+O+Ra
através: At+Ra+V+Es
conta: C+O+N+Ta
francês: F+Ra+N+C+Es
ouvir: O+U+V+Ir
início: In+I+C+I+O
internacional: In+Te+Rn+Ac+I+O+N+Al
pretender: P+Re+Te+Nd+Er
escrever: Es+C+Re+V+Er
escola: Es+C+O+La
necessário: Ne+C+Es+S+Ar+I+O
pagar: P+Ag+Ar
técnico: Te+C+N+I+C+O
chamar: C+H+Am+Ar
palavra: Pa+La+V+Ra
plano: P+La+N+O
falta: F+Al+Ta
interesse: In+Te+Re+S+Se
seis: Se+I+S
surgir: S+U+Rg+Ir
tipo: Ti+P+O
fundo: F+U+Nd+O
servir: S+Er+V+Ir
sob: S+O+B
incluir: In+C+Lu+Ir
vários: V+Ar+I+O+S
responder: Re+S+P+O+Nd+Er
claro: Cl+Ar+O
pai: Pa+I
clube: C+Lu+Be
gente: Ge+N+Te
acusar: Ac+U+S+Ar
socialista: S+O+C+I+Al+I+S+Ta
ali: Al+I
campo: C+Am+P+O
participar: P+Ar+Ti+C+I+P+Ar
financeiro: F+I+Na+N+Ce+Ir+O
americano: Am+Er+I+Ca+N+O
presente: P+Re+Se+N+Te
princípio: Pr+In+C+I+P+I+O
base: Ba+Se
fonte: F+O+N+Te
provocar: Pr+O+V+O+C+Ar
várias: V+Ar+I+As
concluir: C+O+N+C+Lu+Ir
resposta: Re+S+P+O+S+Ta
achar: Ac+H+Ar
povo: P+O+V+O
resolver: Re+S+O+Lv+Er
oficial: O+F+I+C+I+Al
reconhecer: Re+C+O+N+He+C+Er
Benfica: Be+N+F+I+Ca
carta: C+Ar+Ta
caminho: C+Am+In+H+O
publicar: P+U+B+Li+C+Ar
banco: Ba+N+C+O
cair: Ca+Ir
luta: Lu+Ta
preciso: P+Re+C+I+S+O
usar: U+S+Ar
sofrer: S+O+Fr+Er
lista: Li+S+Ta
assinar: As+Si+N+Ar
reunir: Re+U+N+Ir
ambos: Am+B+O+S
sete: Se+Te
chefe: C+He+Fe
acesso: Ac+Es+S+O
ocupar: O+C+U+P+Ar
profissional: Pr+O+F+I+S+Si+O+N+Al
crise: Cr+I+Se
